FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,37.3,52.3,49.6,51.0,61.2,86.2,100.3,104.0,115.4,115.1,91.6,107.7,109.4,119.4,114.3,119.7,38.4,39.0,49.8,43.8,28.1,25.3,35.2,29.6,34.1,34.6,Data
"Los Angeles-Long Beach-Santa Ana, CA",31100,67.2,98.3,99.1,116.2,133.5,180.0,217.8,219.3,272.4,275.8,256.7,239.7,248.0,210.3,198.0,241.0,55.0,68.4,64.5,67.4,54.6,61.6,63.7,56.5,71.2,77.9,Data
"Chicago-Naperville-Joliet, IL-IN-WI",16980,72.1,105.3,95.3,100.1,100.2,102.8,140.7,149.4,193.9,171.4,156.5,172.9,165.2,154.3,142.7,166.1,46.1,53.9,54.9,59.7,34.0,34.5,36.2,42.1,31.4,32.6,Data
"Dallas-Fort Worth-Arlington, TX",19100,45.2,70.3,55.3,70.3,74.3,88.8,77.6,65.3,76.2,65.3,52.1,54.6,76.5,78.1,59.2,64.8,18.6,15.5,20.8,18.9,14.0,12.6,14.3,13.8,9.6,15.9,Data
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,20.9,30.3,24.0,29.2,35.2,41.3,43.1,44.6,54.0,53.4,47.0,54.5,35.9,52.9,52.1,51.8,13.9,17.1,17.3,16.4,14.4,14.2,20.3,15.2,14.9,14.9,Data
"Houston-Sugar Land-Baytown, TX",26420,62.3,71.3,59.4,69.6,77.7,89.0,87.4,85.0,99.5,70.0,64.1,62.9,63.7,64.3,48.9,57.4,13.6,17.7,23.3,24.2,15.5,15.0,13.6,21.1,14.8,17.2,Data
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,56.4,71.7,78.6,73.3,107.3,132.6,152.8,155.5,214.9,234.5,176.1,222.9,199.9,183.9,147.7,160.1,47.5,63.4,43.6,42.0,32.0,26.8,34.7,31.4,22.9,28.5,Data
"Miami-Fort Lauderdale-Pompano Beach, FL",33100,81.2,135.2,136.1,135.0,193.2,273.5,318.9,376.2,493.9,494.2,501.1,514.4,532.7,492.9,481.7,541.4,100.2,108.3,116.1,96.6,44.5,52.3,60.0,51.2,43.7,43.7,Data
"Atlanta-Sandy Springs-Marietta, GA",12060,128.2,160.9,164.7,165.6,175.6,161.1,177.1,146.7,200.5,163.5,164.1,191.4,162.3,187.0,181.4,159.8,51.7,75.8,54.8,49.3,36.3,31.2,25.6,41.8,31.7,41.4,Data
"Boston-Cambridge-Quincy, MA-NH",14460,17.5,31.4,34.9,32.9,46.3,61.0,59.9,64.8,55.3,63.3,53.5,53.5,61.6,47.7,53.8,63.6,13.3,16.8,18.1,19.4,20.7,10.0,17.2,15.7,21.5,14.9,Data
