,year,qtr,state_fips,low,high
0,1999,1,1,0.41,1.11
1,1999,1,2,1.24,1.32
2,1999,1,4,1.32,1.4
3,1999,1,5,0.41,1.11
4,1999,1,6,1.6,1.72
5,1999,1,8,1.32,1.4
6,1999,1,9,1.11,1.24
7,1999,1,10,0.41,1.11
8,1999,1,11,0.41,1.11
9,1999,1,12,1.4,1.5
10,1999,1,13,1.11,1.24
11,1999,1,15,1.84,2.06
12,1999,1,16,1.32,1.4
13,1999,1,17,0.41,1.11
14,1999,1,18,0.41,1.11
15,1999,1,19,0.41,1.11
16,1999,1,20,0.41,1.11
17,1999,1,21,0.41,1.11
18,1999,1,22,0.41,1.11
19,1999,1,23,1.11,1.24
20,1999,1,24,1.6,1.72
21,1999,1,25,0.41,1.11
22,1999,1,26,0.41,1.11
23,1999,1,27,0.41,1.11
24,1999,1,28,0.41,1.11
25,1999,1,29,0.41,1.11
26,1999,1,30,1.24,1.32
27,1999,1,31,0.41,1.11
28,1999,1,32,1.32,1.4
29,1999,1,33,1.11,1.24
30,1999,1,34,1.11,1.24
31,1999,1,35,1.4,1.5
32,1999,1,36,0.41,1.11
33,1999,1,37,1.11,1.24
34,1999,1,38,0.41,1.11
35,1999,1,39,0.41,1.11
36,1999,1,40,0.41,1.11
37,1999,1,41,1.32,1.4
38,1999,1,42,0.41,1.11
39,1999,1,44,1.11,1.24
40,1999,1,45,1.24,1.32
41,1999,1,46,0.41,1.11
42,1999,1,47,0.41,1.11
43,1999,1,48,0.41,1.11
44,1999,1,49,1.32,1.4
45,1999,1,50,1.11,1.24
46,1999,1,51,1.32,1.4
47,1999,1,53,1.32,1.4
48,1999,1,54,0.41,1.11
49,1999,1,55,0.41,1.11
50,1999,1,56,0.41,1.11
51,1999,2,1,0.41,1.11
52,1999,2,2,1.24,1.32
53,1999,2,4,1.32,1.4
54,1999,2,5,0.41,1.11
55,1999,2,6,1.6,1.72
56,1999,2,8,1.32,1.4
57,1999,2,9,0.41,1.11
58,1999,2,10,0.41,1.11
59,1999,2,11,0.41,1.11
60,1999,2,12,1.4,1.5
61,1999,2,13,1.11,1.24
62,1999,2,15,1.84,2.06
63,1999,2,16,1.4,1.5
64,1999,2,17,0.41,1.11
65,1999,2,18,0.41,1.11
66,1999,2,19,0.41,1.11
67,1999,2,20,0.41,1.11
68,1999,2,21,0.41,1.11
69,1999,2,22,0.41,1.11
70,1999,2,23,0.41,1.11
71,1999,2,24,1.6,1.72
72,1999,2,25,0.41,1.11
73,1999,2,26,0.41,1.11
74,1999,2,27,0.41,1.11
75,1999,2,28,0.41,1.11
76,1999,2,29,0.41,1.11
77,1999,2,30,1.24,1.32
78,1999,2,31,0.41,1.11
79,1999,2,32,1.32,1.4
80,1999,2,33,0.41,1.11
81,1999,2,34,0.41,1.11
82,1999,2,35,1.32,1.4
83,1999,2,36,0.41,1.11
84,1999,2,37,1.11,1.24
85,1999,2,38,0.41,1.11
86,1999,2,39,0.41,1.11
87,1999,2,40,0.41,1.11
88,1999,2,41,1.4,1.5
89,1999,2,42,0.41,1.11
90,1999,2,44,1.11,1.24
91,1999,2,45,1.24,1.32
92,1999,2,46,0.41,1.11
93,1999,2,47,1.11,1.24
94,1999,2,48,0.41,1.11
95,1999,2,49,1.32,1.4
96,1999,2,50,0.41,1.11
97,1999,2,51,1.4,1.5
98,1999,2,53,1.4,1.5
99,1999,2,54,0.41,1.11
100,1999,2,55,0.41,1.11
101,1999,2,56,0.41,1.11
102,1999,3,1,1.11,1.24
103,1999,3,2,1.32,1.4
104,1999,3,4,1.32,1.4
105,1999,3,5,0.41,1.11
106,1999,3,6,1.5,1.6
107,1999,3,8,1.32,1.4
108,1999,3,9,0.41,1.11
109,1999,3,10,0.41,1.11
110,1999,3,11,0.41,1.11
111,1999,3,12,1.4,1.5
112,1999,3,13,1.24,1.32
113,1999,3,15,1.84,2.06
114,1999,3,16,1.4,1.5
115,1999,3,17,0.41,1.11
116,1999,3,18,0.41,1.11
117,1999,3,19,0.41,1.11
118,1999,3,20,0.41,1.11
119,1999,3,21,0.41,1.11
120,1999,3,22,0.41,1.11
121,1999,3,23,1.11,1.24
122,1999,3,24,1.6,1.72
123,1999,3,25,0.41,1.11
124,1999,3,26,0.41,1.11
125,1999,3,27,0.41,1.11
126,1999,3,28,1.11,1.24
127,1999,3,29,0.41,1.11
128,1999,3,30,1.4,1.5
129,1999,3,31,0.41,1.11
130,1999,3,32,1.4,1.5
131,1999,3,33,1.11,1.24
132,1999,3,34,1.11,1.24
133,1999,3,35,1.4,1.5
134,1999,3,36,0.41,1.11
135,1999,3,37,1.11,1.24
136,1999,3,38,0.41,1.11
137,1999,3,39,0.41,1.11
138,1999,3,40,0.41,1.11
139,1999,3,41,1.4,1.5
140,1999,3,42,0.41,1.11
141,1999,3,44,1.11,1.24
142,1999,3,45,1.24,1.32
143,1999,3,46,0.41,1.11
144,1999,3,47,1.11,1.24
145,1999,3,48,0.41,1.11
146,1999,3,49,1.32,1.4
147,1999,3,50,1.11,1.24
148,1999,3,51,1.4,1.5
149,1999,3,53,1.4,1.5
150,1999,3,54,0.41,1.11
151,1999,3,55,0.41,1.11
152,1999,3,56,0.41,1.11
153,1999,4,1,0.41,1.11
154,1999,4,2,1.24,1.32
155,1999,4,4,1.24,1.32
156,1999,4,5,0.41,1.11
157,1999,4,6,1.4,1.5
158,1999,4,8,1.11,1.24
159,1999,4,9,0.41,1.11
160,1999,4,10,0.41,1.11
161,1999,4,11,0.41,1.11
162,1999,4,12,1.4,1.5
163,1999,4,13,1.11,1.24
164,1999,4,15,1.72,1.84
165,1999,4,16,1.4,1.5
166,1999,4,17,0.41,1.11
167,1999,4,18,0.41,1.11
168,1999,4,19,0.41,1.11
169,1999,4,20,0.41,1.11
170,1999,4,21,0.41,1.11
171,1999,4,22,0.41,1.11
172,1999,4,23,0.41,1.11
173,1999,4,24,1.6,1.72
174,1999,4,25,0.41,1.11
175,1999,4,26,0.41,1.11
176,1999,4,27,0.41,1.11
177,1999,4,28,0.41,1.11
178,1999,4,29,0.41,1.11
179,1999,4,30,1.32,1.4
180,1999,4,31,0.41,1.11
181,1999,4,32,1.32,1.4
182,1999,4,33,0.41,1.11
183,1999,4,34,0.41,1.11
184,1999,4,35,1.4,1.5
185,1999,4,36,0.41,1.11
186,1999,4,37,1.11,1.24
187,1999,4,38,0.41,1.11
188,1999,4,39,0.41,1.11
189,1999,4,40,0.41,1.11
190,1999,4,41,1.32,1.4
191,1999,4,42,0.41,1.11
192,1999,4,44,1.11,1.24
193,1999,4,45,1.24,1.32
194,1999,4,46,0.41,1.11
195,1999,4,47,0.41,1.11
196,1999,4,48,0.41,1.11
197,1999,4,49,1.24,1.32
198,1999,4,50,0.41,1.11
199,1999,4,51,1.32,1.4
200,1999,4,53,1.32,1.4
201,1999,4,54,0.41,1.11
202,1999,4,55,0.41,1.11
203,1999,4,56,0.41,1.11
204,2000,1,1,0.41,1.11
205,2000,1,2,1.24,1.32
206,2000,1,4,1.32,1.4
207,2000,1,5,0.41,1.11
208,2000,1,6,1.4,1.5
209,2000,1,8,1.32,1.4
210,2000,1,9,0.41,1.11
211,2000,1,10,0.41,1.11
212,2000,1,11,0.41,1.11
213,2000,1,12,1.4,1.5
214,2000,1,13,1.24,1.32
215,2000,1,15,1.72,1.84
216,2000,1,16,1.4,1.5
217,2000,1,17,0.41,1.11
218,2000,1,18,0.41,1.11
219,2000,1,19,0.41,1.11
220,2000,1,20,0.41,1.11
221,2000,1,21,0.41,1.11
222,2000,1,22,0.41,1.11
223,2000,1,23,1.11,1.24
224,2000,1,24,1.6,1.72
225,2000,1,25,0.41,1.11
226,2000,1,26,0.41,1.11
227,2000,1,27,0.41,1.11
228,2000,1,28,1.11,1.24
229,2000,1,29,0.41,1.11
230,2000,1,30,1.32,1.4
231,2000,1,31,0.41,1.11
232,2000,1,32,1.4,1.5
233,2000,1,33,1.11,1.24
234,2000,1,34,0.41,1.11
235,2000,1,35,1.4,1.5
236,2000,1,36,0.41,1.11
237,2000,1,37,1.24,1.32
238,2000,1,38,0.41,1.11
239,2000,1,39,0.41,1.11
240,2000,1,40,0.41,1.11
241,2000,1,41,1.4,1.5
242,2000,1,42,0.41,1.11
243,2000,1,44,1.11,1.24
244,2000,1,45,1.24,1.32
245,2000,1,46,0.41,1.11
246,2000,1,47,1.11,1.24
247,2000,1,48,0.41,1.11
248,2000,1,49,1.32,1.4
249,2000,1,50,1.11,1.24
250,2000,1,51,1.32,1.4
251,2000,1,53,1.32,1.4
252,2000,1,54,0.41,1.11
253,2000,1,55,0.41,1.11
254,2000,1,56,0.41,1.11
255,2000,2,1,1.11,1.24
256,2000,2,2,1.24,1.32
257,2000,2,4,1.4,1.5
258,2000,2,5,0.41,1.11
259,2000,2,6,1.5,1.6
260,2000,2,8,1.32,1.4
261,2000,2,9,0.41,1.11
262,2000,2,10,0.41,1.11
263,2000,2,11,0.41,1.11
264,2000,2,12,1.5,1.6
265,2000,2,13,1.24,1.32
266,2000,2,15,1.84,2.06
267,2000,2,16,1.4,1.5
