State Abbre-viation,State Name,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,"2010 Q1 Activity Before January 1, 2008","2010 Q1 Activity On or after January 1, 2008",2010 Q1 Total Subjects,"2010 Q2 Activity Before January 1, 2008","2010 Q2 Activity On or after January 1, 2008",2010 Q2 Total Subjects,"2010 Q3 Activity Before January 1, 2008","2010 Q3 Activity On or after January 1, 2008",2010 Q3 Total Subjects,"2010 Q4 Activity Before January 1, 2008","2010 Q4 Activity On or after January 1, 2008",2010 Q4 Total Subjects,"2011 Q1 Activity Before January 1, 2009","2011 Q1 Activity On or after January 1, 2009",2011 Q1 Total Subjects,"2011 Q2 Activity Before January 1, 2009","2011 Q2 Activity On or after January 1, 2009",2011 Q2 Total Subjects,"2011 Q3 Activity Before January 1, 2009","2011 Q3 Activity On or after January 1, 2009",2011 Q3 Total Subjects,"2011 Q4 Activity Before January 1, 2009","2011 Q4 Activity On or after January 1, 2009",2011 Q4 Total Subjects,"2012 Q1 Activity Before January 1, 2010","2012 Q1 Activity On or after January 1, 2010",2012 Q1 Total Subjects,"2012 Q2 Activity Before January 1, 2010","2012 Q2 Activity On or after January 1, 2010",2012 Q2 Total Subjects
State Abbre-viation,State Name,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,"2010 Q1 Activity Before January 1, 2008","2010 Q1 Activity On or after January 1, 2008",2010 Q1 Total Subjects,"2010 Q2 Activity Before January 1, 2008","2010 Q2 Activity On or after January 1, 2008",2010 Q2 Total Subjects,"2010 Q3 Activity Before January 1, 2008","2010 Q3 Activity On or after January 1, 2008",2010 Q3 Total Subjects,"2010 Q4 Activity Before January 1, 2008","2010 Q4 Activity On or after January 1, 2008",2010 Q4 Total Subjects,"2011 Q1 Activity Before January 1, 2009","2011 Q1 Activity On or after January 1, 2009",2011 Q1 Total Subjects,"2011 Q2 Activity Before January 1, 2009","2011 Q2 Activity On or after January 1, 2009",2011 Q2 Total Subjects,"2011 Q3 Activity Before January 1, 2009","2011 Q3 Activity On or after January 1, 2009",2011 Q3 Total Subjects,"2011 Q4 Activity Before January 1, 2009","2011 Q4 Activity On or after January 1, 2009",2011 Q4 Total Subjects,"2012 Q1 Activity Before January 1, 2010","2012 Q1 Activity On or after January 1, 2010",2012 Q1 Total Subjects,"2012 Q2 Activity Before January 1, 2010","2012 Q2 Activity On or after January 1, 2010",2012 Q2 Total Subjects
AK,Alaska,7,12,18,14,6,15,9,10,19,21,11,15,7,8,11,12,6,3,9,19,1,20,9,14,23,9,4,13,14,0,14,14,2,16,16,6,22,7,10,17,15,10,25,14,5,19
AL,Alabama,61,89,72,108,0,114,167,142,125,95,136,152,155,153,144,170,110,52,162,102,91,193,112,41,153,89,94,183,178,38,216,210,43,253,126,35,161,138,39,177,118,30,148,134,37,171
AR,Arkansas,43,26,31,37,36,67,52,57,90,52,72,75,56,90,97,76,64,20,84,69,39,108,125,39,164,40,15,55,80,26,106,112,21,133,52,23,75,136,12,148,45,23,68,48,20,68
AZ,Arizona,230,369,395,380,475,519,718,576,929,871,797,931,1027,1030,997,1214,1029,244,1273,779,212,991,955,319,1274,1161,263,1424,1341,149,1490,1519,178,1697,1044,207,1251,905,179,1084,1029,177,1206,971,246,1217
CA,California,2185,3282,3146,3698,4309,5535,6550,6461,8802,8996,8442,8372,7885,6992,6444,7745,5966,1633,7599,4762,1934,6696,5131,2045,7176,5933,2050,7983,9656,1807,11463,11384,1866,13250,6976,1871,8847,5660,1593,7253,7824,1784,9608,7805,2284,10089
CO,Colorado,319,356,272,364,418,491,472,377,585,491,346,447,496,465,407,448,374,116,490,329,113,442,303,107,410,326,116,442,534,99,633,521,66,587,432,97,529,352,105,457,395,123,518,340,142,482
CT,Connecticut,75,97,86,84,108,105,132,144,222,174,120,140,139,156,152,133,150,41,191,135,66,201,123,70,193,133,76,209,214,44,258,231,36,267,160,38,198,111,38,149,155,27,182,153,33,186
DC,District of Columbia,11,20,21,20,32,31,44,55,40,52,48,58,48,50,58,45,32,21,53,29,19,48,22,15,37,27,14,41,49,17,66,54,15,69,49,15,64,37,16,53,37,6,43,43,14,57
DE,Delaware,25,23,20,14,17,20,25,18,23,51,27,29,34,50,48,48,43,22,65,38,23,61,24,9,33,30,13,43,60,19,79,48,21,69,53,30,83,50,14,64,37,12,49,39,19,58
FL,Florida,827,1298,1378,1479,2044,2807,3019,3604,4798,4658,4644,5218,5265,5275,5077,5223,4588,930,5518,4344,1081,5425,4215,1189,5404,4182,1055,5237,6340,569,6909,6436,677,7113,4720,702,5422,4740,770,5510,4615,632,5247,4099,727,4826
GA,Georgia,695,906,941,1005,985,956,1094,917,1221,964,973,1216,1023,1168,1136,1036,687,353,1040,785,485,1270,607,361,968,675,345,1020,1175,248,1423,1145,214,1359,943,177,1120,736,291,1027,761,218,979,738,249,987
HI,Hawaii,24,25,23,27,35,29,42,52,94,83,63,85,44,85,77,113,79,36,115,66,25,91,65,41,106,74,40,114,122,25,147,138,36,174,121,83,204,108,49,157,89,32,121,103,21,124
