"FinCEN: Subjects Reported in MLF SARs, by Core Based Statistical Area (CBSA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2010 Q1,2010 Q1,2010 Q1,2010 Q2,2010 Q2,2010 Q2,2010 Q3,2010 Q3,2010 Q3,2010 Q4,2010 Q4,2010 Q4,2011 Q1,2011 Q1,2011 Q1,2011 Q2,2011 Q2,2011 Q2,2011 Q3,2011 Q3,2011 Q3,2011 Q4,2011 Q4,2011 Q4,2012 Q1,2012 Q1,2012 Q1,2012 Q2,2012 Q2,2012 Q2,Header
MSA Name,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1 (Older Activity),2010 Q1 (Recent* Activity),All 2010 Q1 Subjects,2010 Q2 (Older Activity),2010 Q2 (Recent* Activity),All 2010 Q2 Subjects,2010 Q3 (Older Activity),2010 Q3 (Recent* Activity),All 2010 Q3 Subjects,2010 Q4 (Older Activity),2010 Q4 (Recent* Activity),All 2010 Q4 Subjects,2011 Q1 (Older Activity),2011 Q1 (Recent* Activity),All 2011 Q1 Subjects,2011 Q2 (Older Activity),2011 Q2 (Recent* Activity),All 2011 Q2 Subjects,2011 Q3 (Older Activity),2011 Q3 (Recent* Activity),All 2011 Q3 Subjects,2011 Q4 (Older Activity),2011 Q4 (Recent* Activity),All 2011 Q4 Subjects,2012 Q1 (Older Activity),2012 Q1 (Recent* Activity),All 2012 Q1 Subjects,2012 Q2 (Older Activity),2012 Q2 (Recent* Activity),All 2012 Q2 Subjects,Header
"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,702,983,933,960,"1,152","1,622","1,895","1,965","2,182","2,176","1,738","2,042","2,075","2,265","2,179","2,282","1,288",732,"2,020","1,234",743,"1,977","1,508",950,"2,458","1,401",835,"2,236",2065,536,2601,2457,483,2940,1842,672,2514,1123,565,1688,1934,645,2579,1672,654,2326,Data
"Los Angeles-Long Beach-Santa Ana, CA",31100,857,"1,255","1,260","1,477","1,697","2,289","2,764","2,783","3,458","3,500","3,278","3,061","3,167","2,685","2,549","3,103","2,175",708,"2,883","1,851",880,"2,731","1,891",830,"2,721","2,183",868,"3,051",3491,703,4194,4246,793,5039,2667,820,3487,2056,728,2784,3048,913,3961,3029,999,4028,Data
"Chicago-Naperville-Joliet, IL-IN-WI",16980,675,986,896,941,942,966,"1,330","1,412","1,833","1,620","1,489","1,645","1,572","1,468","1,367","1,591","1,312",442,"1,754","1,161",516,"1,677","1,203",526,"1,729","1,207",572,"1,779",1946,326,2272,2096,331,2427,1668,347,2015,1441,403,1844,1452,297,1749,1430,308,1738,Data
"Dallas-Fort Worth-Arlington, TX",19100,263,409,332,422,446,533,478,402,469,402,328,344,482,492,382,418,346,120,466,242,100,342,325,134,459,264,122,386,369,90,459,328,81,409,369,92,461,416,89,505,299,61,360,275,101,376,Data
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,122,177,141,172,207,243,255,264,319,316,279,324,213,314,311,309,209,83,292,246,102,348,178,103,281,253,98,351,415,86,501,412,85,497,334,121,455,171,91,262,278,89,367,341,89,430,Data
"Houston-Sugar Land-Baytown, TX",26420,330,378,326,382,426,488,489,476,557,392,367,360,365,368,287,337,270,80,350,200,104,304,250,137,387,291,142,433,328,91,419,400,88,488,369,80,449,261,124,385,268,88,356,226,102,328,Data
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,295,375,414,386,565,698,812,826,"1,142","1,246",947,"1,199","1,075",989,809,877,851,260,"1,111",673,347,"1,020",503,239,742,618,230,848,1125,175,1300,1159,147,1306,724,190,914,645,172,817,687,128,815,647,159,806,Data
"Miami-Fort Lauderdale-Pompano Beach, FL",33100,442,736,744,738,"1,056","1,495","1,743","2,056","2,699","2,701","2,757","2,830","2,931","2,712","2,672","3,003","2,555",556,"3,111","2,264",601,"2,865","2,395",644,"3,039","2,282",536,"2,818",3369,247,3616,3368,290,3658,2560,333,2893,2468,284,2752,2348,243,2591,2121,243,2364,Data
"Atlanta-Sandy Springs-Marietta, GA",12060,634,796,843,848,899,825,933,773,"1,056",861,884,"1,031",874,"1,007",993,875,570,283,853,656,415,"1,071",519,300,819,566,270,836,1019,199,1218,1000,171,1171,788,140,928,602,229,831,637,167,804,619,218,837,Data
"Boston-Cambridge-Quincy, MA-NH",14460,78,140,156,147,207,273,270,292,249,285,243,243,280,217,247,292,221,61,282,121,77,198,131,83,214,197,89,286,325,95,420,291,46,337,256,79,335,0,72,72,173,98,271,194,68,262,Data
"San Francisco-Oakland-Fremont, CA",41860,310,471,422,472,594,668,787,762,"1,044","1,047","1,041","1,142",911,786,773,831,721,166,887,561,191,752,591,231,822,622,234,856,1190,253,1443,1298,174,1472,738,214,952,614,176,790,825,140,965,828,232,1060,Data
"Detroit-Warren-Livonia, MI",19820,464,595,468,594,697,751,908,972,"1,410",808,975,717,717,830,737,663,611,190,801,383,163,546,398,136,534,347,223,570,722,96,818,722,109,831,548,141,689,495,124,619,437,100,537,395,117,512,Data
"Riverside-San Bernardino-Ontario, CA",40140,262,416,415,410,541,754,918,900,"1,274","1,126","1,079",996,"1,065","1,020",857,"1,024",906,264,"1,170",631,261,892,742,295,"1,037",852,289,"1,141",1332,221,1553,1687,218,1905,1035,279,1314,811,143,954,1167,225,1392,1081,304,1385,Data
"Phoenix-Mesa-Scottsdale, AZ",38060,200,330,353,345,410,439,616,493,842,776,670,841,918,907,856,"1,051",877,209,"1,086",656,177,833,811,242,"1,053",970,209,"1,179",1146,109,1255,1234,134,1368,878,173,1051,740,136,876,861,139,1000,794,208,1002,Data
"Seattle-Tacoma-Bellevue, WA",42660,149,144,138,133,171,243,312,318,348,332,274,301,299,350,379,393,372,165,537,246,148,394,239,138,377,332,136,468,511,86,597,503,85,588,378,108,486,356,64,420,385,94,479,389,111,500,Data
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,188,234,237,343,382,431,527,603,790,"1,421","1,856","2,070",805,554,564,352,380,100,480,321,86,407,360,100,460,399,101,500,467,41,508,622,59,681,445,79,524,328,56,384,338,69,407,329,55,384,Data
"San Diego-Carlsbad-San Marcos, CA",41740,167,263,201,260,268,404,388,454,632,726,771,721,689,573,521,663,490,111,601,410,155,565,500,151,651,475,141,616,680,128,808,890,142,1032,585,109,694,469,187,656,632,133,765,612,166,778,Data
"St. Louis, MO-IL",41180,85,100,136,135,166,170,225,209,288,218,197,182,156,198,187,241,155,79,234,82,81,163,125,71,196,113,53,166,180,73,253,180,56,236,167,57,224,107,40,147,145,41,186,140,43,183,Data
"Tampa-St. Petersburg-Clearwater, FL",45300,97,143,140,210,292,381,371,396,611,490,450,549,533,552,583,474,469,93,562,412,126,538,409,115,524,489,119,608,744,79,823,669,123,792,483,114,597,534,155,689,537,104,641,500,96,596,Data
"Baltimore-Towson, MD",12580,104,88,107,135,128,156,214,220,274,238,224,223,212,199,193,242,161,71,232,132,109,241,97,68,165,117,53,170,216,55,271,235,47,282,192,65,257,150,67,217,172,42,214,203,62,265,Data
"Denver-Aurora-Broomfield, CO",19740,249,268,201,257,300,347,347,253,440,359,216,322,343,322,242,305,277,59,336,239,74,313,200,79,279,213,63,276,351,56,407,360,47,407,312,70,382,240,69,309,243,71,314,209,69,278,Data
