,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
0,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,1,157.28,159.65
1,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,2,156.11,158.26
2,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,3,153.65,155.04
3,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,4,156.03,155.4
4,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,5,159.38,156.11
5,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,6,161.15,157.02
6,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,7,162.67,158.41
7,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,8,160.26,156.51
8,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,9,159.89,157.26
9,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,10,157.49,155.92
10,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,11,159.54,158.28
11,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,purchase-only,12,156.44,157.63
12,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,1,179.29,180.37
13,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,2,177.93,179.22
14,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,3,176.15,176.82
15,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,4,178.73,177.96
16,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,5,180.56,177.61
17,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,6,181.21,177.69
18,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,7,183.46,179.92
19,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,8,182.68,179.86
20,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,9,180.06,177.95
21,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,10,178.7,177.27
22,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,11,179.12,178.48
23,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2011,purchase-only,12,181.62,182.45
24,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,1,194.07,194.57
25,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,2,193.18,194.55
26,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,3,191.93,192.81
27,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,4,194.8,194.56
28,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,5,194.0,191.78
29,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,6,196.34,192.44
30,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,7,196.74,192.81
31,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,8,195.72,192.24
32,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,9,194.22,192.09
33,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,10,192.56,190.37
34,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,11,190.3,189.15
35,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2011,purchase-only,12,189.72,189.77
36,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,1,203.98,205.59
37,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,2,198.28,199.39
38,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,3,196.97,198.77
39,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,4,197.51,196.93
40,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,5,199.66,196.9
41,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,6,200.43,196.71
42,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,7,201.08,197.45
43,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2011,purchase-only,8,200.09,197.38
