,year,qtr,state_fips,low,high
408,2001,1,1,1.24,1.32
409,2001,1,2,1.11,1.24
410,2001,1,4,1.5,1.6
411,2001,1,5,0.41,1.11
412,2001,1,6,1.5,1.6
413,2001,1,8,1.4,1.5
414,2001,1,9,0.41,1.11
415,2001,1,10,1.11,1.24
416,2001,1,11,0.41,1.11
417,2001,1,12,1.5,1.6
418,2001,1,13,1.32,1.4
419,2001,1,15,1.72,1.84
420,2001,1,16,1.5,1.6
421,2001,1,17,0.41,1.11
422,2001,1,18,1.11,1.24
423,2001,1,19,0.41,1.11
424,2001,1,20,0.41,1.11
425,2001,1,21,0.41,1.11
426,2001,1,22,0.41,1.11
427,2001,1,23,1.24,1.32
428,2001,1,24,1.6,1.72
429,2001,1,25,0.41,1.11
430,2001,1,26,1.11,1.24
431,2001,1,27,0.41,1.11
432,2001,1,28,1.24,1.32
433,2001,1,29,0.41,1.11
434,2001,1,30,1.4,1.5
435,2001,1,31,0.41,1.11
436,2001,1,32,1.5,1.6
437,2001,1,33,1.11,1.24
438,2001,1,34,1.11,1.24
439,2001,1,35,1.5,1.6
440,2001,1,36,0.41,1.11
441,2001,1,37,1.32,1.4
442,2001,1,38,0.41,1.11
443,2001,1,39,1.11,1.24
444,2001,1,40,0.41,1.11
445,2001,1,41,1.5,1.6
446,2001,1,42,0.41,1.11
447,2001,1,44,1.24,1.32
448,2001,1,45,1.4,1.5
449,2001,1,46,0.41,1.11
450,2001,1,47,1.24,1.32
451,2001,1,48,0.41,1.11
452,2001,1,49,1.4,1.5
453,2001,1,50,1.11,1.24
454,2001,1,51,1.4,1.5
455,2001,1,53,1.5,1.6
456,2001,1,54,1.11,1.24
457,2001,1,55,0.41,1.11
458,2001,1,56,1.11,1.24
459,2001,2,1,1.24,1.32
460,2001,2,2,0.41,1.11
461,2001,2,4,1.4,1.5
462,2001,2,5,0.41,1.11
463,2001,2,6,1.5,1.6
464,2001,2,8,1.32,1.4
465,2001,2,9,0.41,1.11
466,2001,2,10,1.11,1.24
467,2001,2,11,0.41,1.11
468,2001,2,12,1.4,1.5
469,2001,2,13,1.24,1.32
470,2001,2,15,1.84,2.06
