,year,qtr,state_fips,low,high
1428,2006,1,1,1.4,1.5
1429,2006,1,2,1.5,1.6
1431,2006,1,5,1.32,1.4
1434,2006,1,9,1.5,1.6
1435,2006,1,10,1.4,1.5
1436,2006,1,11,0.41,1.11
1438,2006,1,13,1.84,2.06
1440,2006,1,16,1.84,2.06
1441,2006,1,17,1.5,1.6
1442,2006,1,18,1.4,1.5
1443,2006,1,19,1.24,1.32
1444,2006,1,20,1.24,1.32
1445,2006,1,21,1.32,1.4
1446,2006,1,22,1.11,1.24
1447,2006,1,23,1.84,2.06
1449,2006,1,25,1.6,1.72
1450,2006,1,26,1.72,1.84
1451,2006,1,27,1.72,1.84
1452,2006,1,28,1.24,1.32
1453,2006,1,29,1.4,1.5
1454,2006,1,30,1.72,1.84
1455,2006,1,31,1.32,1.4
1457,2006,1,33,1.84,2.06
1458,2006,1,34,1.72,1.84
1459,2006,1,35,1.72,1.84
1460,2006,1,36,1.11,1.24
1461,2006,1,37,1.72,1.84
1462,2006,1,38,0.41,1.11
1463,2006,1,39,1.5,1.6
1464,2006,1,40,1.24,1.32
1465,2006,1,41,1.84,2.06
1466,2006,1,42,1.32,1.4
1467,2006,1,44,1.84,2.06
1468,2006,1,45,1.84,2.06
1469,2006,1,46,1.6,1.72
1470,2006,1,47,1.5,1.6
1471,2006,1,48,1.11,1.24
1472,2006,1,49,1.84,2.06
1473,2006,1,50,1.4,1.5
1474,2006,1,51,1.84,2.06
1476,2006,1,54,1.32,1.4
1477,2006,1,55,1.32,1.4
1478,2006,1,56,1.32,1.4
1479,2006,2,1,1.5,1.6
1480,2006,2,2,1.6,1.72
1482,2006,2,5,1.4,1.5
1485,2006,2,9,1.6,1.72
1486,2006,2,10,1.5,1.6
1487,2006,2,11,0.41,1.11
1489,2006,2,13,1.84,2.06
1491,2006,2,16,1.84,2.06
1492,2006,2,17,1.6,1.72
1493,2006,2,18,1.5,1.6
1494,2006,2,19,1.24,1.32
1495,2006,2,20,1.32,1.4
1496,2006,2,21,1.4,1.5
1497,2006,2,22,1.24,1.32
1498,2006,2,23,1.84,2.06
1500,2006,2,25,1.6,1.72
1501,2006,2,26,1.72,1.84
1502,2006,2,27,1.72,1.84
1503,2006,2,28,1.4,1.5
1504,2006,2,29,1.5,1.6
1505,2006,2,30,1.84,2.06
1506,2006,2,31,1.32,1.4
1509,2006,2,34,1.84,2.06
1510,2006,2,35,1.72,1.84
1511,2006,2,36,1.24,1.32
1512,2006,2,37,1.72,1.84
1513,2006,2,38,1.11,1.24
1514,2006,2,39,1.5,1.6
1515,2006,2,40,1.32,1.4
1517,2006,2,42,1.4,1.5
1518,2006,2,44,1.84,2.06
1519,2006,2,45,1.84,2.06
1520,2006,2,46,1.6,1.72
1521,2006,2,47,1.5,1.6
1522,2006,2,48,1.24,1.32
1523,2006,2,49,1.84,2.06
1524,2006,2,50,1.6,1.72
1527,2006,2,54,1.32,1.4
1528,2006,2,55,1.4,1.5
1529,2006,2,56,1.32,1.4
1530,2006,3,1,1.6,1.72
1531,2006,3,2,1.84,2.06
1533,2006,3,5,1.4,1.5
1536,2006,3,9,1.72,1.84
1537,2006,3,10,1.6,1.72
1538,2006,3,11,0.41,1.11
1543,2006,3,17,1.6,1.72
1544,2006,3,18,1.5,1.6
1545,2006,3,19,1.32,1.4
1546,2006,3,20,1.32,1.4
1547,2006,3,21,1.4,1.5
1548,2006,3,22,1.32,1.4
