year,low
1999,0.8027450980392157
2000,0.9139705882352941
2001,1.0504901960784314
2002,1.2561764705882352
2003,1.4090547263681594
2004,1.4880434782608696
2005,1.5073863636363638
2006,1.5108024691358024
2007,1.5003311258278147
2008,1.4863043478260871
2009,1.5093233082706767
2010,1.4972185430463576
2011,1.4688750000000002
2012,1.440769230769231
2013,1.4146354166666668
2014,1.396734693877551
2015,1.3668020304568527
2016,1.3849748743718593
2017,1.3804522613065326
2018,1.3648241206030152
2019,1.3636000000000001
2020,1.3967171717171718
2021,1.3964
