"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",1,100,100
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",2,100.92,100.98
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",3,101.31,100.93
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",4,101.7,101
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",5,102.32,101.37
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",6,102.79,101.51
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",7,102.98,101.88
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",8,103.15,102.04
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",9,102.83,102
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",10,103.08,102.33
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",11,103.98,103.34
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1991","purchase-only",12,103.75,103.41
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",1,100,100
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",2,101.01,100.61
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",3,100.87,100.45
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",4,100.81,100.45
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",5,101.13,100.74
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",6,101.98,101.46
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",7,101.87,101.44
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",8,101.71,100.86
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",9,101.97,101.17
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",10,101.93,101.6
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",11,102.73,102.15
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1991","purchase-only",12,103.38,103.27
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1991","purchase-only",1,100,100
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1991","purchase-only",2,100.12,100.37
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1991","purchase-only",3,100.04,99.78
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1991","purchase-only",4,99.58,99.28
