yr,index_sa
1991,100.347444
1992,102.726194
1993,105.367898
1994,109.412349
1995,112.551794
1996,116.042849
1997,119.525865
1998,125.297532
1999,133.079484
2000,142.485214
2001,152.588595
2002,163.580135
2003,176.646452
2004,194.945357
2005,218.419111
2006,232.698548
2007,230.43223
2008,208.654063
2009,192.921833
2010,187.5225
2011,179.613706
2012,184.825373
2013,198.935738
2014,209.723913
2015,221.580095
2016,234.742349
2017,249.832278
2018,265.901087
2019,279.645389
2020,301.932365
2021,353.092548
2022,385.2775
