DATE,CPIAUCSL,UNRATE,COMPUTSA,CSUSHPISA,MORTGAGE30US
1991-01-01,134.7,6.4,1149.0,75.915,9.56
1991-02-01,134.8,6.6,1090.0,75.734,9.63
1991-03-01,134.8,6.8,1176.0,75.569,9.75
1991-04-01,135.1,6.7,1093.0,75.565,9.61
1991-05-01,135.6,6.9,1070.0,75.765,9.56
1991-06-01,136.0,6.9,1093.0,75.992,9.36
1991-07-01,136.2,6.8,1076.0,76.082,9.25
1991-08-01,136.6,6.9,1050.0,76.109,9.29
1991-09-01,137.0,6.9,1216.0,76.194,9.4
1991-10-01,137.2,7.0,1076.0,76.074,9.49
1991-11-01,137.8,7.0,1013.0,76.015,9.5
1991-12-01,138.2,7.3,1002.0,76.056,9.59
1992-01-01,138.3,7.3,1061.0,76.085,9.52
1992-02-01,138.6,7.4,1098.0,76.155,9.49
1992-03-01,139.1,7.4,1128.0,76.27600000000001,9.48
1992-04-01,139.4,7.4,1083.0,76.345,9.47
1992-05-01,139.7,7.6,1187.0,76.39699999999999,9.53
1992-06-01,140.1,7.8,1189.0,76.332,9.47
1992-07-01,140.5,7.7,1251.0,76.263,9.47
1992-08-01,140.8,7.6,1140.0,76.23,9.5
1992-09-01,141.1,7.6,1123.0,76.238,9.47
1992-10-01,141.7,7.3,1139.0,76.376,9.45
1992-11-01,142.1,7.4,1224.0,76.559,9.48
1992-12-01,142.3,7.4,1199.0,76.67399999999999,9.66
1993-01-01,142.8,7.3,1135.0,76.78399999999999,9.65
1993-02-01,143.1,7.1,1236.0,76.837,9.67
1993-03-01,143.3,7.0,1105.0,76.868,9.62
1993-04-01,143.8,7.1,1216.0,76.936,9.64
1993-05-01,144.2,7.1,1111.0,77.03699999999999,9.54
1993-06-01,144.3,7.0,1193.0,77.242,9.5
1993-07-01,144.5,6.9,1090.0,77.429,9.44
1993-08-01,144.8,6.8,1264.0,77.612,9.27
1993-09-01,145.0,6.7,1172.0,77.794,9.19
1993-10-01,145.6,6.8,1246.0,77.941,9.17
1993-11-01,146.0,6.6,1235.0,78.148,9.15
1993-12-01,146.3,6.5,1289.0,78.32600000000001,9.14
1994-01-01,146.3,6.6,1228.0,78.59100000000001,9.02
1994-02-01,146.7,6.6,1353.0,78.727,8.95
1994-03-01,147.1,6.5,1257.0,78.85600000000001,8.92
1994-04-01,147.2,6.4,1374.0,78.987,8.87
1994-05-01,147.5,6.1,1430.0,79.222,8.82
1994-06-01,147.9,6.1,1336.0,79.423,8.82
1994-07-01,148.4,6.1,1281.0,79.595,8.91
1994-08-01,149.0,6.0,1348.0,79.782,8.78
1994-09-01,149.3,5.9,1414.0,79.92,8.76
1994-10-01,149.4,5.8,1378.0,80.065,8.69
1994-11-01,149.8,5.6,1365.0,80.15,8.63
1994-12-01,150.1,5.5,1386.0,80.296,8.7
1995-01-01,150.5,5.6,1423.0,80.42699999999999,8.62
1995-02-01,150.9,5.4,1294.0,80.528,8.53
1995-03-01,151.2,5.4,1413.0,80.598,8.49
1995-04-01,151.8,5.8,1342.0,80.661,8.35
1995-05-01,152.1,5.6,1326.0,80.703,8.24
1995-06-01,152.4,5.6,1242.0,80.78399999999999,8.23
1995-07-01,152.6,5.7,1352.0,80.937,8.45
1995-08-01,152.9,5.7,1265.0,81.11,8.56
1995-09-01,153.1,5.6,1279.0,81.306,8.68
1995-10-01,153.5,5.5,1335.0,81.482,8.67
1995-11-01,153.7,5.6,1360.0,81.619,8.73
1995-12-01,153.9,5.6,1200.0,81.737,8.82
1996-01-01,154.7,5.6,1402.0,81.835,8.83
1996-02-01,155.0,5.5,1317.0,81.954,8.85
1996-03-01,155.5,5.5,1369.0,82.194,8.88
1996-04-01,156.1,5.6,1327.0,82.421,9.03
1996-05-01,156.4,5.6,1423.0,82.61,8.98
1996-06-01,156.7,5.3,1437.0,82.75200000000001,8.96
1996-07-01,157.0,5.5,1453.0,82.928,8.84
1996-08-01,157.2,5.1,1468.0,83.087,8.76
1996-09-01,157.7,5.2,1379.0,83.257,8.85
1996-10-01,158.2,5.2,1392.0,83.37700000000001,8.84
1996-11-01,158.7,5.4,1413.0,83.553,8.75
1996-12-01,159.1,5.4,1487.0,83.721,8.64
1997-01-01,159.4,5.3,1377.0,83.956,8.53
1997-02-01,159.7,5.2,1545.0,84.181,8.6
1997-03-01,159.8,5.2,1445.0,84.45200000000001,8.59
1997-04-01,159.9,5.1,1438.0,84.62299999999999,8.54
1997-05-01,159.9,4.9,1400.0,84.86200000000001,8.48
1997-06-01,160.2,5.0,1315.0,85.08,8.43
1997-07-01,160.4,4.9,1313.0,85.33200000000001,8.29
1997-08-01,160.8,4.8,1332.0,85.573,8.13
1997-09-01,161.2,4.9,1442.0,85.851,8.09
1997-10-01,161.5,4.7,1396.0,86.147,8.08
1997-11-01,161.7,4.6,1420.0,86.632,8.05
1997-12-01,161.8,4.7,1428.0,87.09299999999999,8.06
1998-01-01,162.0,4.6,1316.0,87.615,7.96
1998-02-01,162.0,4.6,1441.0,88.00299999999999,7.87
1998-03-01,162.0,4.7,1477.0,88.44200000000001,8.01
1998-04-01,162.2,4.3,1498.0,88.87899999999999,7.94
1998-05-01,162.6,4.4,1465.0,89.363,7.84
1998-06-01,162.8,4.5,1467.0,89.844,7.89
1998-07-01,163.2,4.5,1552.0,90.31,8.02
1998-08-01,163.4,4.5,1521.0,90.786,7.93
1998-09-01,163.5,4.6,1452.0,91.259,8.01
1998-10-01,163.9,4.5,1452.0,91.718,8.06
1998-11-01,164.1,4.4,1604.0,92.2,8.23
1998-12-01,164.4,4.4,1433.0,92.713,8.21
1999-01-01,164.7,4.3,1599.0,93.208,8.29
1999-02-01,164.7,4.4,1459.0,93.671,8.32
1999-03-01,164.8,4.2,1673.0,94.217,8.32
1999-04-01,165.9,4.3,1580.0,94.785,8.29
1999-05-01,166.0,4.2,1623.0,95.345,8.34
1999-06-01,166.0,4.3,1648.0,95.976,8.23
1999-07-01,166.7,4.3,1597.0,96.593,8.19
1999-08-01,167.1,4.2,1563.0,97.22,8.13
1999-09-01,167.8,4.2,1643.0,97.863,8.14
1999-10-01,168.1,4.1,1593.0,98.524,8.07
1999-11-01,168.4,4.1,1596.0,99.155,8.04
1999-12-01,168.8,4.0,1659.0,99.846,8.0
2000-01-01,169.3,4.0,1574.0,100.552,7.86
2000-02-01,170.0,4.1,1677.0,101.339,7.8
2000-03-01,171.0,4.0,1704.0,102.127,7.75
2000-04-01,170.9,3.8,1610.0,102.922,7.65
2000-05-01,171.2,4.0,1682.0,103.677,7.53
2000-06-01,172.2,4.0,1530.0,104.424,7.44
