,year,qtr,state_fips,low,high
816,2003,1,1,1.4,1.5
817,2003,1,2,1.32,1.4
818,2003,1,4,1.72,1.84
819,2003,1,5,1.24,1.32
820,2003,1,6,1.84,2.06
821,2003,1,8,1.84,2.06
822,2003,1,9,1.32,1.4
823,2003,1,10,1.32,1.4
824,2003,1,11,0.41,1.11
825,2003,1,12,1.72,1.84
826,2003,1,13,1.6,1.72
827,2003,1,15,1.84,2.06
828,2003,1,16,1.72,1.84
829,2003,1,17,1.32,1.4
830,2003,1,18,1.32,1.4
831,2003,1,19,0.41,1.11
832,2003,1,20,1.11,1.24
833,2003,1,21,1.24,1.32
834,2003,1,22,1.24,1.32
835,2003,1,23,1.4,1.5
836,2003,1,24,1.72,1.84
837,2003,1,25,1.24,1.32
838,2003,1,26,1.4,1.5
839,2003,1,27,1.32,1.4
840,2003,1,28,1.4,1.5
841,2003,1,29,1.24,1.32
842,2003,1,30,1.6,1.72
843,2003,1,31,0.41,1.11
844,2003,1,32,1.72,1.84
845,2003,1,33,1.5,1.6
846,2003,1,34,1.4,1.5
847,2003,1,35,1.6,1.72
848,2003,1,36,0.41,1.11
849,2003,1,37,1.6,1.72
850,2003,1,38,0.41,1.11
851,2003,1,39,1.32,1.4
852,2003,1,40,1.32,1.4
853,2003,1,41,1.72,1.84
854,2003,1,42,1.11,1.24
855,2003,1,44,1.4,1.5
856,2003,1,45,1.72,1.84
857,2003,1,46,1.4,1.5
858,2003,1,47,1.4,1.5
859,2003,1,48,1.11,1.24
860,2003,1,49,1.6,1.72
861,2003,1,50,1.32,1.4
862,2003,1,51,1.6,1.72
863,2003,1,53,1.84,2.06
864,2003,1,54,1.24,1.32
865,2003,1,55,1.11,1.24
866,2003,1,56,1.32,1.4
867,2003,2,1,1.4,1.5
868,2003,2,2,1.32,1.4
869,2003,2,4,1.72,1.84
870,2003,2,5,1.24,1.32
871,2003,2,6,1.84,2.06
872,2003,2,8,1.84,2.06
873,2003,2,9,1.32,1.4
874,2003,2,10,1.32,1.4
875,2003,2,11,0.41,1.11
876,2003,2,12,1.84,2.06
877,2003,2,13,1.6,1.72
878,2003,2,15,1.84,2.06
879,2003,2,16,1.72,1.84
880,2003,2,17,1.32,1.4
881,2003,2,18,1.4,1.5
882,2003,2,19,1.11,1.24
883,2003,2,20,1.24,1.32
