,Year,Ave_Foreclosure,yr,index_sa
8,1999,1.9825,1999,133.079484
9,2000,2.0825,2000,142.485214
10,2001,2.295,2001,152.588595
11,2002,2.1125,2002,163.580135
12,2003,1.8275,2003,176.646452
13,2004,1.5525,2004,194.945357
14,2005,1.5475,2005,218.419111
15,2006,1.7325,2006,232.698548
16,2007,2.5525,2007,230.43223
17,2008,5.0075,2008,208.654063
18,2009,9.1375,2009,192.921833
19,2010,0.8125,2010,187.5225
20,2011,10.4,2011,179.613706
21,2012,10.365,2012,184.825373
22,2013,8.965,2013,198.935738
23,2014,7.2,2014,209.723913
24,2015,5.64,2015,221.580095
25,2016,5.64,2016,234.742349
26,2017,3.7125,2017,249.832278
27,2018,3.12,2018,265.901087
28,2019,2.5075,2019,279.645389
29,2020,2.6325,2020,301.932365
30,2021,2.425,2021,353.092548
