"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",1,108.48,108.56
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",2,108.33,108.37
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",3,109.28,108.93
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",4,110.23,109.46
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",5,110.85,109.81
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",6,111.94,110.51
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",7,112.16,110.92
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",8,112.63,111.39
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",9,113.13,112.18
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",10,113.24,112.37
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",11,113.58,112.92
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1993","purchase-only",12,113.81,113.47
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",1,106.95,106.98
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",2,106.93,106.6
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",3,108.38,107.91
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",4,108.76,108.32
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",5,109.16,108.71
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",6,109.55,108.85
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",7,109.95,109.36
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",8,110.89,109.92
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",9,111.82,110.97
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",10,111.31,110.87
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",11,112.21,111.61
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1993","purchase-only",12,112.22,112.05
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1993","purchase-only",1,100.97,101.04
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1993","purchase-only",2,100.47,100.86
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1993","purchase-only",3,100.85,100.66
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1993","purchase-only",4,101.79,101.51
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1993","purchase-only",5,102.4,101.81
