"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",1,129.96,130.37
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",2,130.65,130.63
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",3,131.85,131.42
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",4,132.21,131.36
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",5,133.61,132.15
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",6,134.04,132.31
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",7,134.4,132.66
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",8,134.62,133.07
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",9,134.53,133.31
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",10,134.88,133.79
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",11,134.8,134.18
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1997","purchase-only",12,134.67,134.47
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",1,128.38,128.34
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",2,129.77,129.61
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",3,129.75,129.28
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",4,130.46,129.77
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",5,130.28,129.49
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",6,131.22,130.03
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",7,131.56,130.66
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",8,131.86,130.85
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",9,131.36,130.61
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",10,131.28,130.93
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",11,132.01,131.43
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1997","purchase-only",12,132.19,131.95
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",1,102.22,102.41
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",2,101.98,102.63
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",3,102.53,102.46
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",4,103.13,102.93
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",5,104.47,103.65
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",6,104.4,102.87
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",7,104.78,103.11
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",8,105.08,103.39
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",9,104.16,103.22
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",10,105.33,104.51
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",11,103.94,103.56
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1997","purchase-only",12,104.45,104.28
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",1,143.24,144
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",2,143.54,144.37
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",3,144.7,144.84
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",4,145.73,145.2
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",5,146.16,145.46
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",6,146.4,145.6
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",7,146.89,145.97
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",8,147.35,146.49
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",9,147.36,146.63
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",10,147.68,147.24
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",11,147.41,147.53
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1997","purchase-only",12,147.64,148.08
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",1,101.26,101.42
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",2,99.99,100.81
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",3,100.86,101.39
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",4,102.46,102.42
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",5,102.92,102.36
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",6,104.26,102.61
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",7,104.22,102.84
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",8,104.72,103.45
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",9,104.14,103.08
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",10,105.26,104.49
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",11,105.2,104.95
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1997","purchase-only",12,105.47,105.55
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",1,95.86,96.18
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",2,95.71,96.22
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",3,96.91,96.81
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",4,97.88,97.59
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",5,98.55,97.77
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",6,98.78,97.88
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",7,99.57,98.59
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",8,99.98,99.13
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",9,99.94,99.45
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",10,99.98,99.78
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",11,100.85,100.79
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","1997","purchase-only",12,100.78,101.05
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",1,116.45,116.25
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",2,116.77,116.56
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",3,117.79,117.28
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",4,117.63,117.07
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",5,117.84,117.28
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",6,118.8,117.7
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",7,118.17,117.33
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",8,119.2,118.21
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",9,119.11,118.28
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",10,119.33,118.71
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",11,119.97,119.48
"traditional","monthly","USA or Census Division","South Atlantic Division","DV_SA","1997","purchase-only",12,120.02,119.77
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",1,128.31,128.83
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",2,129.06,129.36
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",3,130.37,129.89
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",4,130.39,129.77
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",5,131.92,130.71
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",6,131.73,130.28
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",7,132.95,131.29
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",8,132.91,131.34
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",9,133.42,132.21
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",10,133.35,132.55
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",11,133.34,132.65
"traditional","monthly","USA or Census Division","West North Central Division","DV_WNC","1997","purchase-only",12,132.9,132.88
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",1,119.85,119.92
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",2,120.59,120.5
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",3,121.11,120.87
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",4,121.38,120.78
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",5,122.43,121.36
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",6,122.63,121.45
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",7,122.91,121.63
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",8,122.89,121.6
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",9,122.91,122.07
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",10,123.32,122.67
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",11,123.97,123.31
"traditional","monthly","USA or Census Division","West South Central Division","DV_WSC","1997","purchase-only",12,123.9,123.65
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",1,116.65,116.84
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",2,116.94,117.15
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",3,117.86,117.6
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",4,118.36,117.84
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",5,119.18,118.26
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",6,119.62,118.31
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",7,119.91,118.62
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",8,120.31,119.05
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",9,120.13,119.23
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",10,120.5,119.83
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",11,120.68,120.24
"traditional","monthly","USA or Census Division","United States","USA","1997","purchase-only",12,120.72,120.63
"traditional","quarterly","MSA","Abilene, TX","10180","1997","all-transactions",1,104.97,NULL
"traditional","quarterly","MSA","Abilene, TX","10180","1997","all-transactions",2,105.16,NULL
"traditional","quarterly","MSA","Abilene, TX","10180","1997","all-transactions",3,108.27,NULL
"traditional","quarterly","MSA","Abilene, TX","10180","1997","all-transactions",4,108.95,NULL
"traditional","quarterly","MSA","Akron, OH","10420","1997","all-transactions",1,110.9,NULL
"traditional","quarterly","MSA","Akron, OH","10420","1997","all-transactions",2,111.92,NULL
"traditional","quarterly","MSA","Akron, OH","10420","1997","all-transactions",3,114.16,NULL
"traditional","quarterly","MSA","Akron, OH","10420","1997","all-transactions",4,115.38,NULL
"traditional","quarterly","MSA","Albany, GA","10500","1997","all-transactions",1,109.49,NULL
"traditional","quarterly","MSA","Albany, GA","10500","1997","all-transactions",2,110.16,NULL
"traditional","quarterly","MSA","Albany, GA","10500","1997","all-transactions",3,111.29,NULL
"traditional","quarterly","MSA","Albany, GA","10500","1997","all-transactions",4,114.65,NULL
"traditional","quarterly","MSA","Albany-Lebanon, OR","10540","1997","all-transactions",1,115.25,NULL
"traditional","quarterly","MSA","Albany-Lebanon, OR","10540","1997","all-transactions",2,116.04,NULL
"traditional","quarterly","MSA","Albany-Lebanon, OR","10540","1997","all-transactions",3,118.3,NULL
"traditional","quarterly","MSA","Albany-Lebanon, OR","10540","1997","all-transactions",4,120.74,NULL
"traditional","quarterly","MSA","Albany-Schenectady-Troy, NY","10580","1997","all-transactions",1,100.04,NULL
"traditional","quarterly","MSA","Albany-Schenectady-Troy, NY","10580","1997","all-transactions",2,100.45,NULL
"traditional","quarterly","MSA","Albany-Schenectady-Troy, NY","10580","1997","all-transactions",3,99.92,NULL
"traditional","quarterly","MSA","Albany-Schenectady-Troy, NY","10580","1997","all-transactions",4,100.98,NULL
"traditional","quarterly","MSA","Albuquerque, NM","10740","1997","all-transactions",1,106.32,NULL
"traditional","quarterly","MSA","Albuquerque, NM","10740","1997","all-transactions",2,106.61,NULL
"traditional","quarterly","MSA","Albuquerque, NM","10740","1997","all-transactions",3,107.23,NULL
"traditional","quarterly","MSA","Albuquerque, NM","10740","1997","all-transactions",4,108.69,NULL
"traditional","quarterly","MSA","Alexandria, LA","10780","1997","all-transactions",1,111.41,NULL
"traditional","quarterly","MSA","Alexandria, LA","10780","1997","all-transactions",2,109.57,NULL
"traditional","quarterly","MSA","Alexandria, LA","10780","1997","all-transactions",3,113.56,NULL
"traditional","quarterly","MSA","Alexandria, LA","10780","1997","all-transactions",4,114.55,NULL
"traditional","quarterly","MSA","Allentown-Bethlehem-Easton, PA-NJ","10900","1997","all-transactions",1,103.64,NULL
"traditional","quarterly","MSA","Allentown-Bethlehem-Easton, PA-NJ","10900","1997","all-transactions",2,102.8,NULL
"traditional","quarterly","MSA","Allentown-Bethlehem-Easton, PA-NJ","10900","1997","all-transactions",3,104.43,NULL
"traditional","quarterly","MSA","Allentown-Bethlehem-Easton, PA-NJ","10900","1997","all-transactions",4,104.58,NULL
"traditional","quarterly","MSA","Altoona, PA","11020","1997","all-transactions",1,103.78,NULL
"traditional","quarterly","MSA","Altoona, PA","11020","1997","all-transactions",2,104.66,NULL
"traditional","quarterly","MSA","Altoona, PA","11020","1997","all-transactions",3,107.3,NULL
"traditional","quarterly","MSA","Altoona, PA","11020","1997","all-transactions",4,108.03,NULL
