"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",1,103.86,103.88
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",2,104.35,104.4
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",3,105.53,105.15
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",4,105.92,105.19
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",5,106.55,105.56
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",6,106.93,105.58
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",7,107.14,105.98
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",8,107.59,106.42
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",9,107.58,106.7
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",10,108.18,107.38
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",11,108.42,107.77
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","1992","purchase-only",12,108.75,108.41
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",1,103.31,103.33
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",2,104.47,104.09
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",3,104.26,103.81
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",4,103.73,103.35
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",5,104.46,104.06
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",6,104.72,104.13
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",7,105.23,104.73
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",8,106.28,105.38
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",9,106.65,105.83
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",10,106.92,106.54
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",11,106.86,106.26
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","1992","purchase-only",12,106.94,106.8
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",1,100.83,100.86
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",2,101.88,102.18
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",3,101.5,101.27
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",4,101.24,100.94
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",5,100.93,100.42
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",6,101.34,100.39
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",7,101.55,100.41
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",8,101.53,100.45
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",9,102.25,101.32
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",10,102.54,101.48
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",11,103.1,102.28
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","1992","purchase-only",12,101.67,101.37
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",1,104.4,104.47
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",2,105.1,105.5
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",3,105.55,105.99
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",4,105.87,105.95
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",5,106.58,106.37
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",6,107.55,107.02
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",7,107.49,107.3
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",8,108.59,108.02
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",9,108.72,108.47
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",10,110.04,109.56
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",11,110.39,110.18
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","1992","purchase-only",12,111.29,111.25
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",1,99.74,99.76
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",2,99.72,100.29
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",3,99.66,99.46
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",4,98.44,98.44
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",5,97.47,97.47
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",6,96.92,96.32
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",7,97.11,96.61
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",8,98.16,97.53
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",9,98.28,97.4
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",10,98.46,97.91
"traditional","monthly","USA or Census Division","New England Division","DV_NE","1992","purchase-only",11,99.38,98.48
