"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",1,174.36,177.62
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",2,177.02,179.64
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",3,179.13,179.65
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",4,181.77,180.09
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",5,184.92,181.31
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",6,187.78,182.39
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",7,187.15,182.02
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",8,185.6,181.38
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",9,186.22,183.28
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",10,185.39,184.04
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",11,185.46,184.95
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2015","purchase-only",12,184.18,185.7
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",1,198.22,199.15
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",2,196.5,197.72
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",3,201.18,200.14
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",4,203.81,201.68
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",5,203.81,200.24
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",6,205.13,201.08
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",7,204.95,201.18
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",8,205.95,203.24
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",9,205.16,203.03
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",10,205.29,204.53
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",11,206.1,205.49
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2015","purchase-only",12,206.4,206.63
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",1,199.89,200.74
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",2,199.12,201.26
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",3,202.16,203.35
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",4,202.87,202.45
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",5,206.29,203.2
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",6,208.37,203.54
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",7,209.68,205.12
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",8,209.34,205.18
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",9,207.88,205.33
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",10,207.6,205.96
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",11,206.72,205.76
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2015","purchase-only",12,206.22,206.52
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2015","purchase-only",1,263.92,265.87
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2015","purchase-only",2,266.98,268
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2015","purchase-only",3,267.83,268.12
