"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",1,177.89,178.84
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",2,179.75,180.33
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",3,180.87,180.66
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",4,182.43,181.21
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",5,184.31,181.88
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",6,185.48,182.65
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",7,186.23,183.35
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",8,186.76,183.98
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",9,186.33,184.22
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",10,186.75,185.07
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",11,186.45,185.86
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2004","purchase-only",12,186.16,186.42
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",1,164.48,164.27
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",2,165.57,165.66
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",3,165.53,165.45
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",4,166.99,166.27
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",5,168.01,166.97
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",6,170.31,168.44
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",7,171.03,169.35
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",8,171.47,169.82
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",9,171.3,170.08
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",10,171.64,170.76
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",11,171.69,171.08
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2004","purchase-only",12,173.5,173.35
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",1,174.43,174.21
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",2,176.32,176.86
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",3,176.73,177.15
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",4,179.64,179.71
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",5,182.78,181.71
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",6,186.17,183.57
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",7,187.71,185
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",8,188.91,186.03
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",9,189.84,187.54
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",10,192.28,190.53
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",11,193.49,192.27
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2004","purchase-only",12,194.41,194.3
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",1,207.08,208.48
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",2,207.8,209.19
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",3,210.77,211.03
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",4,215.03,214.35
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",5,216.72,215.58
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",6,221.19,219.16
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",7,223.37,221.5
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",8,224.77,222.87
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",9,228.2,226.88
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",10,228.54,227.82
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",11,230.72,230.83
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2004","purchase-only",12,232.07,233.02
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",1,199.35,200.93
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",2,200.25,202.35
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",3,203.31,203.52
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",4,206.73,205.75
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",5,209.38,207.4
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",6,213.63,210.43
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",7,215.95,212.39
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",8,216.6,213.87
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",9,218.91,215.96
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2004","purchase-only",10,219.45,217.6
