"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",1,168.83,172.02
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",2,169.31,172.01
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",3,171.71,172.61
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",4,175.01,173.65
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",5,176.62,173.14
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",6,178.98,173.79
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",7,180.14,174.99
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",8,179.99,175.74
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",9,178.98,175.96
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",10,178.46,177.13
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",11,177.35,176.63
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2014","purchase-only",12,177.07,178.55
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2014","purchase-only",1,188.91,189.95
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2014","purchase-only",2,190.7,192.07
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2014","purchase-only",3,192.14,191.46
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2014","purchase-only",4,194.48,192.57
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2014","purchase-only",5,196.32,192.7
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2014","purchase-only",6,197.88,193.76
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2014","purchase-only",7,197.9,194.16
