"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",1,170.53,172.45
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",2,169.9,171.43
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",3,169.15,170.13
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",4,169.23,168.52
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",5,173.02,169.65
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",6,172.26,168.38
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",7,170.92,167.21
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",8,170.38,166.87
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",9,169.62,167.31
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",10,168.06,166.46
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",11,168.94,167.88
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2009","purchase-only",12,164.52,165.57
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",1,189.58,190.59
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",2,189.67,190.53
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",3,189.28,190.09
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",4,189.98,189.28
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",5,191.27,188.86
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",6,194.27,191.13
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",7,191.87,188.86
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",8,191.81,189.27
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",9,188.54,186.65
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",10,191.41,190.02
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2009","purchase-only",11,190.14,189.18
