"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",1,216.59,219.7
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",2,219.89,221.34
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",3,222.05,221.69
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",4,225.57,223.08
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",5,228.27,224.29
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",6,230.41,224.78
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",7,231.09,225.94
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",8,231.08,226.78
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",9,231.23,227.91
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",10,230.14,228.01
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",11,231.19,230.75
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2019","purchase-only",12,229.47,231.3
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",1,242.9,243.16
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",2,244.27,244.35
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",3,246.71,245.43
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",4,249.41,247.3
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",5,251.6,248.32
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",6,254.01,250.24
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",7,255.13,250.34
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",8,252.96,249.69
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",9,255.49,253.27
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",10,256.04,254.17
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",11,254.13,252.96
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2019","purchase-only",12,257.77,257.44
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2019","purchase-only",1,236.95,237.19
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2019","purchase-only",2,236.8,238.36
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2019","purchase-only",3,238.06,238.07
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2019","purchase-only",4,240.77,239.36
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2019","purchase-only",5,244.17,240.51
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2019","purchase-only",6,245.17,241.14
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2019","purchase-only",7,246.07,241.91
