"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",1,156.47,156.95
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",2,157.52,157.63
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",3,158.64,158.13
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",4,159.87,158.91
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",5,161.25,159.42
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",6,162.06,159.9
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",7,162.7,160.4
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",8,162.98,160.9
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",9,163.34,161.62
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",10,164.05,162.67
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",11,163.52,162.86
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2001","purchase-only",12,163.42,163.42
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",1,148.11,147.58
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",2,148.34,148.25
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",3,148.69,148.41
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",4,149.3,148.74
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",5,150.51,149.68
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",6,150.95,149.48
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",7,150.92,149.74
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",8,151.32,150.14
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",9,151.67,150.63
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",10,152.72,151.84
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",11,152.14,151.57
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2001","purchase-only",12,152.06,151.85
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2001","purchase-only",1,128.11,127.92
