"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",1,183.15,186.44
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",2,183.32,185.64
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",3,187.31,187.54
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",4,189.94,188
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",5,192.83,189.11
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",6,195.78,190.31
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",7,196.1,191
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",8,196.75,192.54
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",9,195.96,193.04
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",10,195.53,194.1
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",11,195.14,194.7
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2016","purchase-only",12,194.75,196.32
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",1,207.25,208.01
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",2,205.63,206.61
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",3,209.17,207.89
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",4,211.57,209.41
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",5,213.84,210.37
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",6,214.48,210.49
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",7,216.31,212.31
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",8,216.36,213.56
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",9,216.42,214.33
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",10,215.11,214.34
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2016","purchase-only",11,216.77,216.07
