"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",1,154.11,156.68
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",2,154.36,156.74
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",3,156.39,157.81
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",4,159.36,158.53
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",5,163.1,159.79
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",6,164.46,159.98
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",7,164.56,159.95
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",8,164.82,160.86
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",9,164.07,161.23
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",10,163.36,161.85
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",11,162.08,160.91
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2012","purchase-only",12,160.32,161.59
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",1,176.23,177.34
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",2,178,179.42
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",3,181.13,181.46
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",4,182.48,181.42
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",5,185.75,182.53
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",6,186.61,182.85
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",7,185.97,182.35
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",8,184.92,182.16
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",9,184.43,182.26
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",10,184.7,183.38
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",11,184.29,183.73
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2012","purchase-only",12,184.3,185.02
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",1,190.14,190.84
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",2,187.55,189.24
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",3,190.2,191.4
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",4,191.07,190.76
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",5,193.54,191.21
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",6,195.54,191.27
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",7,194.95,190.81
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",8,194.71,191.04
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",9,195.17,192.9
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",10,192.45,190.44
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",11,193.63,192.51
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2012","purchase-only",12,192.88,193.09
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",1,198.45,199.93
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",2,200.63,201.88
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",3,204.71,206.49
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",4,209.13,208.47
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",5,214.25,211.27
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",6,219.28,214.96
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",7,220.88,216.85
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",8,220.49,217.53
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",9,221.57,219.57
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",10,221.5,220.7
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",11,223.52,223.89
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2012","purchase-only",12,223.29,225.5
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2012","purchase-only",1,192.17,193.64
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2012","purchase-only",2,191.92,194.21
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2012","purchase-only",3,192.89,193.72
