"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",1,258.01,261.19
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",2,261.68,263.01
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",3,267.27,266.84
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",4,273.69,270.77
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",5,279.39,274.77
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",6,285.66,278.9
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",7,287.78,281.57
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",8,287.75,282.63
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",9,289.88,285.59
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",10,290.79,287.97
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",11,291.66,291.01
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2021","purchase-only",12,293.07,295.36
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",1,288.29,288.49
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",2,292.95,292.54
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",3,297.56,296.35
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",4,305.36,302.68
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",5,312.2,308.26
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",6,318.21,313.68
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",7,324.79,318.62
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",8,328.02,323.65
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",9,329.74,326.84
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",10,335.74,332.58
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",11,340.57,338.51
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2021","purchase-only",12,341.73,341.14
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",1,281.48,281.28
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",2,281.19,282.68
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",3,287.09,286.86
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",4,295.31,293.32
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",5,300.98,296.47
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",6,303.83,299.49
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",7,308.68,303.84
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",8,307.54,303.89
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",9,309.57,306.3
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2021","purchase-only",10,312.38,309.56
