"hpi_type","hpi_flavor","frequency","level","place_name","place_id","yr","period","index_nsa","index_sa"
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",1,163.77,164.35
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",2,164.29,164.52
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",3,165.8,165.35
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",4,166.69,165.67
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",5,168.19,166.23
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",6,169.44,167.12
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",7,169.95,167.5
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",8,170.37,168.1
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",9,170.73,168.88
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",10,170.78,169.27
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",11,171.23,170.56
"traditional","monthly","USA or Census Division","East North Central Division","DV_ENC","2002","purchase-only",12,170.68,170.71
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",1,153.05,152.53
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",2,152.01,151.94
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",3,153.75,153.55
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",4,153.65,153.09
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",5,154.47,153.64
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",6,155.46,153.88
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",7,155.52,154.19
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",8,156.88,155.48
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",9,156.2,155.11
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",10,157.54,156.54
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",11,157.3,156.77
"traditional","monthly","USA or Census Division","East South Central Division","DV_ESC","2002","purchase-only",12,157.32,157.13
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",1,140.73,140.52
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",2,141.07,141.71
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",3,142.82,143.19
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",4,144.4,144.51
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",5,146.99,146.18
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",6,149.34,147.13
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",7,151.03,148.73
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",8,152.62,150.35
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",9,153.56,151.54
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",10,154.34,153.03
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",11,155.01,153.91
"traditional","monthly","USA or Census Division","Middle Atlantic Division","DV_MA","2002","purchase-only",12,156.54,156.37
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",1,181.82,182.81
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",2,183.01,183.97
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",3,184.32,184.36
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",4,185.46,184.94
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",5,186.38,185.55
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",6,187.46,186.02
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",7,188.26,187
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",8,189.88,188.6
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",9,189.49,188.53
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",10,190.8,190.3
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",11,191.04,190.99
"traditional","monthly","USA or Census Division","Mountain Division","DV_MT","2002","purchase-only",12,191.88,192.44
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",1,159.64,160.59
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",2,160.97,162.66
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",3,162.19,162.85
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",4,166.21,165.85
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",5,168.37,167.28
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",6,172.36,169.76
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",7,175.68,172.58
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",8,175.9,173.53
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",9,177.44,174.92
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",10,178.65,176.85
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",11,179.44,178.96
"traditional","monthly","USA or Census Division","New England Division","DV_NE","2002","purchase-only",12,179.46,179.86
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","2002","purchase-only",1,147.15,147.96
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","2002","purchase-only",2,148.55,149.12
"traditional","monthly","USA or Census Division","Pacific Division","DV_PAC","2002","purchase-only",3,150.97,150.92
